Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.00;58.00
2022/8/31,18:24:56;25.00;58.00
2022/8/31,18:25:6;25.10;58.00
2022/8/31,18:25:17;25.10;57.00
Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.10;57.00
2000/3/148;0:1:0;26.30;57.00
2022/9/1;10:13:17;26.30;57.00
2022/9/1;10:13:27;26.30;57.00
2022/9/1;10:13:38;26.30;57.00
2022/9/1;10:13:49;26.20;57.00
2022/9/1;10:13:59;26.20;57.00
2022/9/1;10:14:10;26.20;57.00
2022/9/1;10:14:21;26.20;57.00
2022/9/1;10:14:31;26.20;57.00
2022/9/1;10:14:42;26.30;57.00
2022/9/1;10:14:53;26.30;57.00
2022/9/1;10:15:3;26.30;57.00
2022/9/1;10:15:14;26.30;57.00
2022/9/1;10:15:25;26.30;56.00
2022/9/1;10:15:35;26.30;56.00
2022/9/1;10:15:46;26.30;56.00
2022/9/1;10:15:57;26.30;57.00
2022/9/1;10:16:7;26.30;57.00
2022/9/1;10:16:18;26.30;57.00
2022/9/1;10:16:29;26.40;57.00
2022/9/1;10:16:39;26.40;57.00
2022/9/1;10:16:50;26.40;57.00
2022/9/1;10:17:1;26.40;57.00
2022/9/1;10:17:12;26.50;57.00
2022/9/1;10:17:22;26.50;57.00
2022/9/1;10:17:33;26.50;56.00
2022/9/1;10:17:44;26.50;56.00
2022/9/1;10:17:54;26.40;56.00
2022/9/1;10:18:5;26.50;57.00
2022/9/1;10:18:16;26.40;56.00
2022/9/1;10:18:26;26.50;57.00
2022/9/1;10:18:37;26.50;57.00
2022/9/1;10:18:48;26.50;57.00
2022/9/1;10:18:58;26.50;57.00
2022/9/1;10:19:9;26.40;57.00
2022/9/1;10:19:20;26.40;57.00
2022/9/1;10:19:30;26.40;57.00
2022/9/1;10:19:41;26.40;57.00
2022/9/1;10:19:51;26.40;57.00
2022/9/1;10:20:2;26.40;57.00
2022/9/1;10:20:13;26.30;57.00
2022/9/1;10:20:23;26.40;57.00
2022/9/1;10:20:34;26.40;57.00
2022/9/1;10:20:45;26.30;57.00
2022/9/1;10:20:55;26.40;57.00
