
Data;Hora;Temperatura;Umidade
2022/9/2;12:19:20;27.10;61.00
2022/9/2;12:19:31;27.20;61.00
2022/9/2;12:19:41;27.10;61.00
2022/9/2;12:19:52;27.10;61.00
2022/9/2;12:20:3;27.10;61.00
2022/9/2;12:20:13;27.10;61.00
2022/9/2;12:20:24;27.00;61.00
2022/9/2;12:20:35;27.00;61.00
2022/9/2;12:20:45;27.10;61.00
2022/9/2;12:20:56;27.10;61.00
2022/9/2;12:21:7;27.10;61.00
2022/9/2;12:21:17;27.10;61.00
2022/9/2;12:21:28;27.00;61.00
2022/9/2;12:21:39;27.00;61.00
2022/9/2;12:21:49;27.00;61.00
2022/9/2;12:22:0;27.10;61.00
2022/9/2;12:22:11;27.00;61.00
2022/9/2;12:22:21;27.00;61.00
2022/9/2;12:22:32;27.00;61.00
2022/9/2;12:22:43;27.00;61.00
2022/9/2;12:22:53;27.10;61.00
2022/9/2;12:23:4;27.00;61.00
2022/9/2;12:23:14;27.00;61.00
2022/9/2;12:23:25;27.00;61.00
2022/9/2;12:23:36;27.10;61.00
2022/9/2;12:23:46;27.10;61.00
2022/9/2;12:23:57;27.10;61.00
2022/9/2;12:24:8;27.10;61.00
2022/9/2;12:24:19;27.10;61.00
2022/9/2;12:24:29;27.10;61.00
2022/9/2;12:24:40;27.10;61.00
2022/9/2;12:24:50;27.10;61.00
2022/9/2;12:25:1;27.00;61.00
2022/9/2;12:25:12;27.00;61.00
2022/9/2;12:25:22;27.00;61.00
2022/9/2;12:25:33;27.00;61.00
2022/9/2;12:25:44;27.00;61.00
2022/9/2;12:25:54;27.00;61.00
2022/9/2;12:26:5;27.00;61.00
2022/9/2;12:26:16;27.00;61.00
2022/9/2;12:26:26;27.00;61.00
2022/9/2;12:26:37;27.00;61.00
2022/9/2;12:26:48;27.00;61.00
2022/9/2;12:26:58;27.10;61.00
2022/9/2;12:27:9;27.10;61.00
2022/9/2;12:27:20;27.10;61.00
2022/9/2;12:27:30;27.10;61.00
2022/9/2;12:27:41;27.00;61.00
2022/9/2;12:27:52;27.10;61.00
2022/9/2;12:28:2;27.10;61.00
2022/9/2;12:28:13;27.00;61.00
2022/9/2;12:28:24;27.10;61.00
2022/9/2;12:28:34;27.00;61.00
2022/9/2;12:28:45;27.10;61.00
2022/9/2;12:28:56;27.00;61.00
2022/9/2;12:29:6;27.00;61.00
2022/9/2;12:29:17;27.00;61.00
2022/9/2;12:29:28;27.00;61.00
2022/9/2;12:29:38;27.00;61.00
2022/9/2;12:29:49;27.00;61.00
2022/9/2;12:30:0;27.00;61.00
2022/9/2;12:30:10;27.00;61.00
2022/9/2;12:30:21;27.00;61.00
2022/9/2;12:30:32;27.00;61.00
2022/9/2;12:30:42;27.00;61.00
2022/9/2;12:30:53;27.00;61.00
2022/9/2;12:31:4;27.00;61.00
2022/9/2;12:31:14;27.10;61.00
2022/9/2;12:31:25;27.00;61.00
2022/9/2;12:31:36;27.00;61.00
2022/9/2;12:31:46;27.00;61.00
2022/9/2;12:31:57;27.00;61.00
2022/9/2;12:32:8;27.00;61.00
2022/9/2;12:32:18;27.00;61.00
2022/9/2;12:32:29;27.00;61.00
2022/9/2;12:32:40;27.00;61.00
2022/9/2;12:32:50;27.00;61.00
2022/9/2;12:33:1;27.00;61.00
2022/9/2;12:33:12;27.00;61.00
2022/9/2;12:33:22;27.00;61.00
2022/9/2;12:33:33;27.00;61.00
2022/9/2;12:33:44;27.00;61.00
2022/9/2;12:33:54;27.00;61.00
2022/9/2;12:34:5;27.00;61.00
2022/9/2;12:34:16;27.00;61.00
2022/9/2;12:34:26;27.00;61.00
2022/9/2;12:34:37;27.00;61.00
2022/9/2;12:34:48;27.00;61.00
2022/9/2;12:34:58;27.00;61.00
2022/9/2;12:35:9;27.00;61.00
2022/9/2;12:35:20;27.10;61.00
